user,location,text
gabrielvilla26,,"En la demanda que probablemente presentará @QuinteroCalle ante la CIDH únicamente deberá cambiar la cédula, el nomb… https://t.co/2lRrbe85d8"
alvaroguti55,"Medellín, Colombia","@petrogustavo @CIDH Se cayeron los apoyos del Clan del Golfo, Pacto de la Picota, chavismo y ahora el del alcalde d… https://t.co/MNKGGOwedy"
CasandraAnam,,#YoSoyQuintero @PGN_COL sancionen a todos esos alcaldes 👇a Duque a Zapateiro y aplique también para usted la sanció… https://t.co/7BZHtwEL1u
GatitusDAlditus,El Salvador,@LourdesPaucar_ @DamasaLaJoven @whuacasi @congresoperu @kellyportalati2 @IPYS @ConsejodePrensa @CIDH @TC_Peru Puede… https://t.co/aOMFTHsroI
JuanMan0014,,"@petrogustavo @CIDH ¿No fue la misma procuraduría con la que su amiga Isabel Zuleta ""quemó"" a Fajardo?"
diegosoler1993,Colombia,"¿Entonces Fajardo también cree, como el continuismo, que la procuraduría puede aplicar sanciones que según la CIDH… https://t.co/z0ry4CFX4b"
MaricelDeBerna2,Venezuela,@petrogustavo @CIDH ¿Y que se puede esperar de este narco país?...estados unidos no va a cerrar sus bases ni sus negocios de la droga.🙄
wcharrymch,,"@petrogustavo @CIDH Ud si es ridículo!!!!
Y el de Ibague?
🤔🤔🤔"
Julian0rtega,"Colombia,La Tierra, Vía láctea","@PizarroMariaJo @petrogustavo @CIDH @QuinteroCalle Un golpe de estado es contra el jefe de estado...
¿Bruta? o igno… https://t.co/Xb2FWBs6ng"
rockola225,"Woodlands ,TX.","@petrogustavo @CIDH NO es golpe de Estado: el “PINTURITAS” con el apoyo del CNE, se burló de quienes recogieron las… https://t.co/dCtWmk6gIa"
JORGEAA007,,"COLOMBIA SOLICITA A GRITO ENTERO la intervención de la @CIDH 
la Narcodictadura que gobierna el país invadió y filt… https://t.co/Y3AxFiLaQk"
Milpekas1,,@SoyDefensor_ @CIDH protector de la izquierda
egarcia_1994,"Ibagué, Colombia",@piedadcordoba @CIDH @petrogustavo Están comparando el caso de el cacas y teodora (destitucion) con el de quintero… https://t.co/25f6ID7uXX
wgonalez111,Bogota-Colombia,"Gracias a la Procuradora Margarita Cabello @PGN_COL, nos acaba de dar más razones argumentos para votar por… https://t.co/BrmLM4gKBl"
Oscar_Burtonc,,Aquí lo q debe haber es un esfuerzo institucional para que el normatividad y procedimientos del país se ajusten a l… https://t.co/WmG2qVKhYg
MafeCarrascal,Prensa/denuncias 3013602703,"Contra la figura de suspensión provisional no hay recursos, lo que sigue es presentar tutela o acudir directamente… https://t.co/kphEHQP5Uc"
Antonio163016,,"¿@KarimKhanQC  por qué protege criminales como  Francisco Barbosa, Nestor Humberto Martinez Neira y al gobierno nar… https://t.co/l3Pg4AyHRb"
ROBOT20211,,"@piedadcordoba @CIDH @petrogustavo Apareció TEODORA GIMIENDO PORQUE KE TOCARON UN CAMARADA DISFRAZADO DE 🐑, YA LE D… https://t.co/D676l0WuWH"
andresc7133,"Medellín, Colombia",@petrogustavo @CIDH Si claro..cómo acá somos bobos...Golpe d estado el que usted quiere hacer en Colombia.
SSufitec,,@CorteConstituc1 @WOLA_org @CIDH  @ONUHumanRights @CorteSupremaJ @GNavasTalero @petrogustavo @DCoronell… https://t.co/7z21GXZI5g
