user,location,text
PaterMionostro,A la derecha de la derecha,"@quediceamigo @QuinteroCalle @AlcaldiadeMed #Quintero es un subversivo, subvierte el orden establecido"
eltintodehoy,,"https://t.co/EOswPMW4Aq 

Las reacciones de los candidatos presidenciales a la decisión contra Quintero #Reacciones… https://t.co/qQdbBLeudZ"
ParanoidRockBar,"Carrera 68c #79 35, 2do piso",Un día san Ordoñez suspendió a #Petro y ahora años después cuando @petrogustavo ha demostrado su razón casi es pres… https://t.co/Qe9k8Ctxrg
LuisFdoLedesma,"Medellín, Antioquia","En #MEDELLÍN, casa a casa, uno a uno, voto a voto, con argumentos, con ideas, por la dignidad, por un cambio por la… https://t.co/mKXaGjHYVX"
LuisFdoLedesma,"Medellín, Antioquia","Los paisas estamos con @petrogustavo #Quintero
#elcambioesenprimera 
#LaEncuestaDice https://t.co/FyJY3aUadj"
javiergarces17,colombia,"Gran movilización en respaldo a Daniel #Quintero, alcalde de #Medellín. Plazoleta de la Alpujarra 5:00 PM. https://t.co/2eiv7cCnqY"
Julian_KXMN,Colombia,A @QuinteroCalle se le venía avisando desde hace meses que su intervención política es ilegal siendo alcalde; Sin e… https://t.co/lCmevoMcZJ
PaterMionostro,A la derecha de la derecha,@ELTIEMPO @IvanDuque @QuinteroCalle Casi que no vemos una luz con el corrupto y politiquero #Quintero
Santiag08105206,,"Así son los mamertos, solo hablan de lo que les conviene #Quintero #QuinteroCorrupto #PactoDeCorruptos… https://t.co/fi1nFCwXlV"
Alazcarito,Grimmould Place. ,"Lo más delicado es q si por la revocatoria no funciono, ahora con la procuradora si debe funcionar, #Quintero no me… https://t.co/zelhD3gGSs"
MiguelMar0426,,Hacen lo que quieren como quieren cuando quieren... Increíble #LogrosDeDuque #Quintero #Procuraduria https://t.co/8XlCUsoOOW
PDI_Valparaiso,"Valparaíso, Chile",Detectives de la Brigada de Investigación Criminal #Quintero detuvieron a 3 personas que circulaban en un vehículo… https://t.co/wPkixnS3bY
GabrielChica,"Cali, Colombia","¿Cómo amanece este país, insignia de la democracia? ¿A cuántos funcionarios electos popularmente suspenderá hoy la… https://t.co/TEEgyAzoZh"
Pan_DeTienda,Caliwood,"Los colombianos defendiéndonos de @AlvaroUribeVel 
#Quintero #elcambioesenprimera #QueSancionenA #Zapateiro #CIDH https://t.co/GKDRNZ8Nbr"
adavid_rr,Colombia,"#Quintero no se va de la alcaldía porque tiene el andamiaje normativo que lo protege.
#Petro será presidente en pri… https://t.co/vK04OU949Q"
mane_sabio,Versalles-Connecticut,"#GolpeDeEstadoEnMedellin 
#Quintero 
Y a muchas empresas en Colombia https://t.co/99xoVmOVkl"
mariangel3737,,"Ojo,la destitución e inhabilitación solo puede ser impuesta por un JUEZ competente, previa condena en proceso PENAL… https://t.co/CCm4osTkA6"
varianmackey,,@tobonsanin Recuerdo que la procuraduría realizó un feriado de contratación y aumentó su planta laboral diciendo qu… https://t.co/gC9jAh7wSX
estebansiman,"Bogotá, colombia",🚨ATENCION🚨 Guaidó se auto proclama alcalde interino de Medellín. #Quintero https://t.co/DpuXZozb2x
varianmackey,,Me preguntó simplemente ¿Dónde está el debido proceso? #Quintero.
LilyCaspath,,"Señora @PGN_COL y para cuándo la investigación en contra de @IvanDuque 👀😏.
Esperamos la misma celeridad!!
 Ahhh ver… https://t.co/zEA7s01j3q"
Jonatha67993983,Rivendel ,"#Quintero es la muestra de que la justicia en Colombia además de ciega también es selectiva,preferencial y alcahueta."
mateomejia0,"Pereira, Colombia","Creo que es indudable que #Quintero lleva participando en política desde hace rato, pero es más preocupante ver a l… https://t.co/L9SfIKq8Wc"
javiergarces17,colombia,La suspensión de Daniel #Quintero cómo alcalde de #Medellín puede desembocar en el triunfo electoral de… https://t.co/Dfu87InBb2
Cristianrvilla3,"Bogotá, D.C., Colombia","Dichas facultades son una burla a la democracia y los estandares internacionales,  son una bofetada a la democracia… https://t.co/8S7o4ON4mP"
Cristianrvilla3,"Bogotá, D.C., Colombia","motivo por el cual acudi al sistema interamericano de proteccion de derechos, solicitando medidas cautelares  el di… https://t.co/rlz1h5j5hF"
Cristianrvilla3,"Bogotá, D.C., Colombia","El suscrito Abogado, reprocha la actuación de la  Procuradora Margarita Cabello, al suspender provisionalmente de s… https://t.co/EVgGKpsGdp"
Mauro_bermudezv,,"La procuradora tan cumplidora de la ley tiene muchas sanciones que poner, por ej:

Los alcaldes en fedemucipios neg… https://t.co/bmVtpqsaVR"
atentonto,,"El desfalco de Reficar, 18 billones de Buena Fe.
#ElCambioEnPrimera falta gravísima, destitución inmediata. Procura… https://t.co/Ku9HLJbu23"
onematato,"Bogotá, Colombia","Separados al nacer. Pero su apellido, el destino e incluso su actuar los junta:

#cabello #quintero… https://t.co/qDhszPIAP1"
yurannyms,Colombia,"#ElCambioEnPrimera 
#Quintero 
Más razones por el cambio https://t.co/G8jMlLQCUa"
peznaranjaTweet,"Bogotá, Colombia",Página WEB con soporte técnico incluido: COP $199.000 #Quintero https://t.co/HgzHvPZq9W
StefanBravo3,"Medellín, Colombia","#Quintero
#QuietoEnPrimera
#QuinteroSeVa
#QuintoRetiroUrgente
#Revocatoriaya
#Medellín
@QuinteroCalle te vamos saca… https://t.co/DLHkuUtKQn"
danniela_avila,"Boyacá, Colombia","La indemnización que le impusieron a Colombia, a causa de que Ordóñez suspendiera a Petro.  

Fue porqué la procura… https://t.co/6bscogthke"
IYusethyBonilla,"Bogotá, D.C., Colombia",Y usted @QuinteroCalle es mejor que pase a neutro en vez de estar haciendo bobadas #QuietoEnPrimera  #QuinteroCorrupto #Quintero
JAYAL191169_7,Colombia 🇨🇴,"@Luzmafrie El mismo lo dijo; en 3-2-1-0 lo negará:
https://t.co/86fYDR3Byq

#QuinteroCorrupto 
#Quintero"
