user,location,text
LuisAle01854708,"Quito, Ecuador",Empieza a dejar de PROCRASTINAR el futuro. #ElCambioEnPrimera https://t.co/kQxgj2j0U8
Reshh67,,"@petrogustavo Ellos no van a ganar Gustavo, el pueblo se cansó. #NoPasaran #ElCambioEnPrimera"
JugadaDemocrti1,,"@diamaov Que tesa que es usted, no se quede callada ante el monstruo ese.

#ElCambioEnPrimera
#DanielQuintero"
SLdeGaceno,,". #ElCambioEnPrimera
Colombia no aguanta más la tragedia económica, social, ambiental.
Por eso nuestro presidente s… https://t.co/3zT8SrnNO2"
Resistenciamul1,,"@APOLOC8 @GustavoBolivar A los integrantes de la bacrim, les toca meterse en política porque les falta el ingenio,… https://t.co/CkUCNOhzr2"
ViejoEdy10,Bogotá D.C. Colombia,"@AntonioCR1974 @calderonwiliams @CIDH @petrogustavo @PGN_COL Además, es sospechoso que para un caso de este calibre… https://t.co/DURvr6H5hA"
HugoFelipeQuij1,,"Con el país y la economía en ruinas: vamos a sacarlo adelante!!!
#ElCambioEnPrimera 
#PetroPresidenteEnPrimera"
manuelzamudioa,,"¡El cambio en primera, sin más vueltas! #ElCambioEnPrimera #En18DíasPetroPresidente https://t.co/46YUQBsw3P"
ReneGatto3,R'lyeh,@PGN_COL la que reemplazaría a @QuinteroCalle por usar el HT de la campaña de Petro #ElCambioEnPrimera ya está con… https://t.co/4EYdw2OtYb
Padrino1_,"Bogotá, D.C., Colombia",@Parcejul @MafeCarrascal @QuinteroCalle @Jokeraton @diablazurda @JackieVargasH @sergiobarbosach @J_Upegui… https://t.co/gE8QkUIRNs
nicozame1960,Colombia,"@joremos102 @osoriosantiago @petrogustavo Jajajaja, #ElCambioEnPrimera"
ccbravo1,"Cali, colombia","Van a faltar 6402 votos😢 😢 😢
#ElCambioEnPrimera"
joraveols, - Colombia,"@Juan_Corromboyo Totalmente de acuerdo. 
#ElCambioEnPrimera"
ahuramazdacol,Vía Láctea,@Por_NuestroPais @elcolombiano Chiquito Malo dió la orden #GolpeDeEstado #ElCambioEnPrimera  https://t.co/QqyiBWqFD3
Camilo28921304,,#ElCambioEnPrimera que linda esta mujer https://t.co/J8PEFqRtU6
patrycar09,,La caterva más asquerosa que tiene colombia 🇨🇴 #ElCambioEnPrimera https://t.co/J7pCFTy8gY
MaraPaz38508965,Medellín ,"Son tan descarados que mejor no les demos ideas, entre ese señor corrupto y Zapateiro no se sabe cuál es más dañino… https://t.co/pUHtKyqXSd"
ahuramazdacol,Vía Láctea,@marcelamvz Chiquito Malo dió la orden #GolpeDeEstado #ElCambioEnPrimera  https://t.co/QqyiBWqFD3
