user,location,text
DidierDiidier,Bucaramanga,Quién iba a pensar que Polo Polo y el Jamming iban a terminar igual. 😂
estefanialarac_,,Que lo del Jamming no nos haga desviar la vista a lo verdaderamente importante: EL FRAUDE ELECTORAL MÁS HIJUEPERRA DE LA HISTORIA.
m___arianaa,,"Los errores te hacen más fuerte.
El pana que compró ayer en la noche las boletas del Jamming https://t.co/zPzZ9bkUGM"
enquiebra,Colombia,"¿Alguien que sepa de algún hotel para hospedarnos en Ibagué? 🥺

Nos íbamos a quedar en donde una amiga de una amiga… https://t.co/3eMyefujwX"
DhinaelPalomino,"Bogotá, D.C., Colombia","Preocupados por el Jamming y por la Guacherna, mientras la @Registraduria no logra organizar sus ideas.🤐🤐"
DanielaPorras12,,Para la versión de este año tenían vídeos de la mayoría de artistas diciendo nos vemos en Ibague en el jamming. Cla… https://t.co/EOKujp4Nob
gusttographer,"Bogotá, D.C., Colombia","Lo del Jamming no es solo la cancelación del evento, se viene estafa..."
_hackvan,Colombia,@briaenrose Que era el jamming 🥹 https://t.co/dUdygRmd0J
Natuchiipz,,Cambio boletas de Jamming por una libra de carne 🤭🤭🤭
AlejaZapataaa20,,"@julianavasquez ¿Usted se ha visto un documental de Netflix que se llama Fyre Festival? Si ya lo vió, es eso con el… https://t.co/Egsz360yNa"
indierod,"localidad 11, bogotá",@CesarEnzo No sé si copearon del Jamming pero bien por @idartes
karolstefanyb,"Tuluá, Colombia",Yo no me rio de los del jamming porque a mi me pasó prácticamente lo mismo con el row😂😂😶😶
camilabernal04,,Yo la verdad aún no logro creer que hayan cancelado el Jamming Festival un día antes del evento. Estoy en shock.
alejitadiaz98,colombia,EMPRENDEDORES #jammingfestival #JammingFestival2022 #Jamming #IbagueNosNecesita #Ibague #IbagueSigueActiva https://t.co/pssnNDBbua
lalizrodriguezb,"Bogotá, D.C., Colombia","Enserio jaajjaja con todo lo que paso con el jamming vean fyre festival, esta en netflix, literalmente si se evito una tragedia 😂😂"
Avilorius,,Cacerolazo a las 9:00 pm por lo del jamming 🥵
julico000,Colombia,"Lo qué pasó con el Jamming Festival es muy complejo, esto me acuerda cuando se cayó DMG, las víctimas finalmente se… https://t.co/gDqvFSlXZB"
YdeJanisJoplin,,Gracias Polo² por quitarnos  un ratico la tristeza de lo del jamming.
rojasckaren,Colombia,"La cancelación del Jamming dejó un montón de historias de horror. Muy duras las historias de vendedores, emprendedo… https://t.co/5wsm3ej8ly"
Citytv,Bogotá,"Más de 20.000 millones de pesos en pérdidas para Ibagué y cientos de emprendedores, así como la decepción de los as… https://t.co/vZwmAR3dxM"
camilamrn18,"Bogotá, D.C., Colombia","Que es más triste? 
1.Que no pude ir nunca a el Jamming
2.Que no puedo ir a Nico Moreno
3.Que tampoco puedo ir al Baum 
😭😭"
reztlesskid,,Y en el jamming que iba a sonar woman to picnic
kathsixx,"La loca de los gatos, Bogotá",Al menos estoy feliz por el día de hoy así que la tusa del jamming no me da tan fuerte 🥲
Darejvi,Väga külmas linnas,@Moansero Sin el Jamming pero le quitaron la curul a polo polo https://t.co/kwecLytSu8
RedMasNoticias,.  ,"#EnVivo | Estas son las razones por las cuales se canceló el Jamming Festival en Ibagué. 

Informa: @marcoVergaraF… https://t.co/MC6e9FoktE"
Caelestial,,Desde que anunciaron que vendría Don Omar ya se sabía que ese Jamming era tremenda estafa.
Norilla_HG,Colombia,Las afectaciones por la cancelación del Jamming se sienten también en Bogotá. Estás personas se disponían a viajar… https://t.co/wiu7UUBcL7
YeyitaGaGo,,"Polo Polo con su curul.
#Jamming https://t.co/XkkFmMaiS2"
alejitadiaz98,colombia,EMPRENDEDORES #jammingfestival #JammingFestival2022 #Jamming #IbagueNosNecesita #Ibague #IbagueSigueActiva https://t.co/ejqTx3bZ84
alejitadiaz98,colombia,EMPRENDEDORES #jammingfestival #JammingFestival2022 #Jamming #IbagueNosNecesita #Ibague #IbagueSigueActiva https://t.co/fXls2hokAm
alejitadiaz98,colombia,EMPRENDEDORES #jammingfestival #JammingFestival2022 #Jamming #IbagueNosNecesita #Ibague #IbagueSigueActiva https://t.co/9qc1bfGqm5
yosoydico,"ÜT: 4.615954,-74.205339","Aplauso para City Tv, ahí si contaron como debía ser lo sucedido con el Jamming"
paprika19682000,bogota,"Las personas humildes, pobres que quieren sacar la cabeza vendiendo comida en el Jamming Festival hipotecaron sus v… https://t.co/BfTvyQh2lf"
joamendoza19,"Bogotá, D.C., Colombia",Será que el restaurante de la octava Sur de #Jamming está abierto? Tengo ganas como de una malteada
Mileidy82994163,"Ocaña, Colombia",Like si desde el principio también sabias que el Jamming era una estafa.🤣
6Happymonty,,"Apoyo y asesoria juridica a quienes invirtieron como proveedores, consumidores y contratistas en el jamming 👇… https://t.co/s4nTUUsBmY"
tetesdainty,she|her • rcbyf,primero la monda del jamming y ahora el peo con j balvin jesucristo redentor que más quieres de mi 😭 colombia ya es… https://t.co/ebX17FBdiT
briaenrose,,¿Qué es el #Jamming?
algoconegre,Bogotá,ya en la besatón por el jamming
Lulyheg,İtaca.,Un día eres joven y al otro no tienes ni idea qué es el Jamming Festival.
Vgecheverry,En tu corazón ,Y yo que pensé vender mi celular por comprar las entradas para el jamming festival🤣
Juanespain,CaliWood -Colombia-Suramerica,"Hablando seriamente, yo trabajo en la industria del entretenimiento, después de una pandemia fue difícil reactivar… https://t.co/73C33H0CAn"
chezkchez,,Se prendió el jamming 😈😈😈 https://t.co/kPH2pH5oQu
LeidyPaolaNioR1,"Bogotá, D.C., Colombia","A todas las personas que no pueden disfrutar del #Jamming son invitados a #Boyaca, una tierra hermosa llena de cult… https://t.co/cKxSBko3qi"
rcnmundo,"Bogotá, Colombia",Superindustria investigará a los organizadores del Jamming tras su cancelación https://t.co/h7Eu0GNS5L https://t.co/Z6vpxOR1WD
contracomu,,Los que compraron boletas para el Jamming mañana: https://t.co/S7eKZqEYS9
josejorge13co,,"@RICHENAO el festival jamming, creo que si y que penq con tantos extranjeros que llegan a colombia a ver este festival, quien les responde"
HaroldCh14,"Pasto, Colombia","@MAET12 No, en serio fue triste. Aunque ella se lo tomó como chiste. Escribió: Y ahora a donde vamos? Porque al Jamming ya no 😂"
Sinfaces,,Triste ver como existe tanto pendejo resentido y poca lucha burlándose de la cancelación del Jamming.
Feryx90,,"Chicos para los que estén interesados respecto a la situación que se presentó en la ciudad de Ibague , un golpe baj… https://t.co/2mc8QCeSVt"
julianavasquez,Colombia,Un resumen ejecutivo de lo que pasó en el Festival Jamming por favor.
30dientes,Bogotá,"Entre el fraude e irresponsabilidad del jamming y los ""errores"" en el conteo de las votaciones creo que hay una gra… https://t.co/N1VoqYXP3B"
contracomu,,"Polo Polo --- Asistentes Jamming
                  🤝
          Ser robados"
el_monoceja,,Más desparchado este fin de semana que persona con boletas para el Jamming…
elpalabrista,"Bogotá, Colombia","llegaron los tamales para el fin de semana, que iban a ir al Jamming. ¿Ya pidieron los suyos? :) https://t.co/ASOYA2Lw2o"
otrocejon,"🚅 Bogotá, D.C., Colombia",Y eso que no han visto el video que grabó doña Alicia por lo del Jamming. https://t.co/tdH78x7tsa
_aletosa,"Bogotá, Colombia",Lo del Jamming es terrible pero la manera en que Ibagué ha respondido es ideal.
Caam8888,,Al final el jamming si termino siendo un fire festival.
_laurrrrrrrrrr,The bay,"aceptemos que la cancelación del jamming fue tristemente lo mejor que pudo pasar, que debieron avisarlo con muchísi… https://t.co/tLfe74HGdx"
jrgallegosochoa,,Hilo importante para entender lo que sucedió con el festival #Jamming https://t.co/eHgOv2oKyc
